region,trips,time
region_2068,28.0,2016-06-01 02:00:00
region_1783,249.0,2016-06-01 02:00:00
region_1734,246.0,2016-06-01 02:00:00
region_1733,10.0,2016-06-01 02:00:00
region_1684,9.0,2016-06-01 02:00:00
region_1630,6.0,2016-06-01 02:00:00
region_1434,21.0,2016-06-01 02:00:00
region_1580,8.0,2016-06-01 02:00:00
region_1532,4.0,2016-06-01 02:00:00
region_1483,23.0,2016-06-01 02:00:00
region_1482,13.0,2016-06-01 02:00:00
region_1480,24.0,2016-06-01 02:00:00
region_1442,16.0,2016-06-01 02:00:00
region_1441,6.0,2016-06-01 02:00:00
region_1439,8.0,2016-06-01 02:00:00
region_2168,117.0,2016-06-01 02:00:00
region_1437,52.0,2016-06-01 02:00:00
region_1436,31.0,2016-06-01 02:00:00
region_1533,9.0,2016-06-01 02:00:00
region_1530,39.0,2016-06-01 02:00:00
region_1326,6.0,2016-06-01 02:00:00
region_1286,352.0,2016-06-01 02:00:00
region_1182,595.0,2016-06-01 02:00:00
region_1181,1108.0,2016-06-01 02:00:00
region_1180,582.0,2016-06-01 02:00:00
region_1179,594.0,2016-06-01 02:00:00
region_1178,279.0,2016-06-01 02:00:00
region_1177,110.0,2016-06-01 02:00:00
region_1176,19.0,2016-06-01 02:00:00
region_1175,18.0,2016-06-01 02:00:00
region_1174,63.0,2016-06-01 02:00:00
region_1172,23.0,2016-06-01 02:00:00
region_1183,180.0,2016-06-01 02:00:00
region_1132,54.0,2016-06-01 02:00:00
region_1130,330.0,2016-06-01 02:00:00
region_1129,414.0,2016-06-01 02:00:00
region_1128,278.0,2016-06-01 02:00:00
region_1127,375.0,2016-06-01 02:00:00
region_1126,202.0,2016-06-01 02:00:00
region_1125,97.0,2016-06-01 02:00:00
region_1077,181.0,2016-06-01 02:00:00
region_1076,185.0,2016-06-01 02:00:00
region_1075,72.0,2016-06-01 02:00:00
region_1287,134.0,2016-06-01 02:00:00
region_1131,199.0,2016-06-01 02:00:00
region_1184,35.0,2016-06-01 02:00:00
region_1173,75.0,2016-06-01 02:00:00
region_1222,9.0,2016-06-01 02:00:00
region_1221,2.0,2016-06-01 02:00:00
region_1284,138.0,2016-06-01 02:00:00
region_1283,293.0,2016-06-01 02:00:00
region_1282,754.0,2016-06-01 02:00:00
region_1281,944.0,2016-06-01 02:00:00
region_1280,311.0,2016-06-01 02:00:00
region_1279,67.0,2016-06-01 02:00:00
region_1278,18.0,2016-06-01 02:00:00
region_1274,4.0,2016-06-01 02:00:00
region_1273,12.0,2016-06-01 02:00:00
region_1272,9.0,2016-06-01 02:00:00
region_1235,229.0,2016-06-01 02:00:00
region_1285,419.0,2016-06-01 02:00:00
region_1223,14.0,2016-06-01 02:00:00
region_1233,593.0,2016-06-01 02:00:00
region_1232,603.0,2016-06-01 02:00:00
region_1231,801.0,2016-06-01 02:00:00
region_1230,884.0,2016-06-01 02:00:00
region_1229,577.0,2016-06-01 02:00:00
region_1228,265.0,2016-06-01 02:00:00
region_1227,101.0,2016-06-01 02:00:00
region_1225,11.0,2016-06-01 02:00:00
region_1224,39.0,2016-06-01 02:00:00
region_1234,504.0,2016-06-01 02:00:00
region_1383,511.0,2016-06-01 03:00:00
region_1384,641.0,2016-06-01 03:00:00
region_1385,401.0,2016-06-01 03:00:00
region_1386,32.0,2016-06-01 03:00:00
region_1426,0.0,2016-06-01 03:00:00
region_1388,12.0,2016-06-01 03:00:00
region_1389,14.0,2016-06-01 03:00:00
region_1390,18.0,2016-06-01 03:00:00
region_1382,26.0,2016-06-01 03:00:00
region_1387,24.0,2016-06-01 03:00:00
region_1380,11.0,2016-06-01 03:00:00
region_1337,77.0,2016-06-01 03:00:00
region_1377,6.0,2016-06-01 03:00:00
region_1376,1.0,2016-06-01 03:00:00
region_1339,7.0,2016-06-01 03:00:00
region_1338,42.0,2016-06-01 03:00:00
region_1336,106.0,2016-06-01 03:00:00
region_1335,177.0,2016-06-01 03:00:00
region_1334,650.0,2016-06-01 03:00:00
region_1333,844.0,2016-06-01 03:00:00
region_1332,523.0,2016-06-01 03:00:00
region_1331,107.0,2016-06-01 03:00:00
region_1378,2.0,2016-06-01 03:00:00
region_1431,20.0,2016-06-01 03:00:00
region_1327,11.0,2016-06-01 03:00:00
region_1435,5.0,2016-06-01 03:00:00
region_2168,54.0,2016-06-01 03:00:00
region_2119,16.0,2016-06-01 03:00:00
region_2118,28.0,2016-06-01 03:00:00
region_2069,2.0,2016-06-01 03:00:00
region_2068,25.0,2016-06-01 03:00:00
region_1783,260.0,2016-06-01 03:00:00
region_1734,305.0,2016-06-01 03:00:00
region_1733,8.0,2016-06-01 03:00:00
region_1684,37.0,2016-06-01 03:00:00
region_1630,2.0,2016-06-01 03:00:00
region_1580,9.0,2016-06-01 03:00:00
region_1533,7.0,2016-06-01 03:00:00
region_1532,4.0,2016-06-01 03:00:00
region_1530,10.0,2016-06-01 03:00:00
region_1483,13.0,2016-06-01 03:00:00
region_1482,6.0,2016-06-01 03:00:00
region_1480,6.0,2016-06-01 03:00:00
region_1442,9.0,2016-06-01 03:00:00
region_1441,5.0,2016-06-01 03:00:00
region_1439,2.0,2016-06-01 03:00:00
region_1438,6.0,2016-06-01 03:00:00
region_1437,30.0,2016-06-01 03:00:00
region_1436,25.0,2016-06-01 03:00:00
region_1434,18.0,2016-06-01 03:00:00
region_1326,1.0,2016-06-01 03:00:00
region_1173,29.0,2016-06-01 03:00:00
